Player_Name,Matches,Runs,Batting_Avg,Strike_Rate,Wickets,Economy
SS Iyer,131,0.430746165378849,0.41320942582144043,0.42857142857142866,0.0,0.0
SS Prabhudessai,10,0.014531195940491293,0.1826086956521739,0.37168141592920356,0.0,0.0
SS Shaikh,1,0.0006919617114519663,0.08695652173913043,0.2857142857142857,0.0,0.0
SS Tiwary,73,0.17229846615153963,0.29660512209648604,0.3857474825716499,0.0,0.0
ST Jayasuriya,30,0.08857109906585169,0.3710144927536232,0.4467713787085515,0.05882352941176471,0.043189368770764125
STR Binny,66,0.10148771767962173,0.1932367149758454,0.41904761904761906,0.0995475113122172,0.03600654664484452
SV Samson,171,0.5424979817783416,0.39867785405542844,0.45122302158273386,0.0,0.0
SW Billings,27,0.05800945681005651,0.26999463231347287,0.42021720969089393,0.0,0.0
SW Tait,5,0.002652519893899204,0.06666666666666667,0.2948717948717949,0.10407239819004525,0.04307116104868914
SZ Mulani,1,0.00011532695190866105,0.014492753623188406,0.33333333333333337,0.0,0.0
Sachin Baby,11,0.01660708107484719,0.18972332015810278,0.3902439024390244,0.00904977375565611,0.19999999999999998
Salman Butt,7,0.022258101718371583,0.3995859213250518,0.374031007751938,0.0,0.0
Sameer Rizvi,9,0.0198362357282897,0.27697262479871176,0.45502645502645506,0.0,0.0
Sandeep Sharma,26,0.006919617114519663,0.033444816053511704,0.25316455696202533,0.660633484162896,0.04608585858585858
Sanvir Singh,5,0.0028831737977165262,0.07246376811594203,0.37878787878787884,0.0,0.0
